CODIGO;EAN;DESCRICAO;APRESENTACAO;PRO_NOMELABORATORIO;CLASSE;CUSTO;VENDA;ESTOQUE
43.464;7898622118356;AGUA TERMAL;150ML;RUBY ROSE;PERFUMARIA;17,49;29,99;
43.470;7896015592721;SENSODYNE EXTRA FRESH;crm dental c/ 90 gr;GLAXOSMITHKLINE DO B;ETICOS / MARCA;9,37;17,99;
43.471;7896015528706;COREGA;po lc c/ 50 gr;GLAXOSMITHKLINE DO B;ETICOS / MARCA;17,07;34,99;
43.482;7898060134239;OMEPRAZOL;20 mg bl al plas inc x 28 cpr;LABORATORIO GLOBO;GENERICO;16,57;22,91;
43.497;7898902274840;LAMOTRIGINA;50 mg bl al plas x 30 cpr;ACCORD FARMACEUTICA;GENERICO;95,69;132,29;
60.009;7897595900029;A A S;  30 cpr inf;SANOFI - AVENTIS;ETICOS / MARCA;20,4;27,37;
60.012;7897595901927;A A S;120 cpr inf;SANOFI - AVENTIS;ETICOS / MARCA;72,44;97,18;
60.015;7897595900593;A A S;200 cpr 20 x 10 inf;SANOFI - AVENTIS;ETICOS / MARCA;7,32;9,81;
60.018;7897595900586;A A S;200 cpr 50 x   4 adu;SANOFI - AVENTIS;ETICOS / MARCA;1,77;2,35;
60.024;7897595903693;AAS PROTECT;100 mg 30 cpr;SANOFI - AVENTIS;ETICOS / MARCA;17,57;23,57;
60.036;7896004817477;A SAUDE DA MULHER;150 ml;EMS - CONSUMO;BON;10,37;35;1
60.042;7898357410213;LANZY SHAMPOO;5 KG;SILCON;ETICOS / MARCA;12,44;19,9;
60.057;7896331702583;ABC;30 gr spray;HERTZ;BON;26,08;40;3
60.060;7896331700480;ABC;50 ml sol;HERTZ;BON;10,23;13,61;
